Upload_Record_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_capacity,Konteinerio_area,Konteinerio_street,Konteinerio_namas,Driver,Automobilis,Pickup_date__time,Weight_kg_,lift_point_latitude,Lift_point_longitude,Data_submission_date__time,Zona,date,season,people_on_street_nearest_avg3
1190307,13-L-305674,E20000178401004719704B34,1.1,Vilniaus m.,Kražių g.,5,Ekonovus,,8:42:00 AM,0.1025,54.6907,25.2665,8:52:00 AM,Vilniaus m. BA5,11/30/2019,Winter,87.66666667
1190310,13-L-310325,E200001C361802130820C04A,1.1,Vilniaus m.,Kražių g.,5,Ekonovus,,8:43:00 AM,0.1065,54.6907,25.2665,8:52:00 AM,Vilniaus m. BA5,8/5/2022,Winter,87.66666667
1188036,13-L-312782,E2004716A2806026E3940111,1.1,Vilnius,Kaštonų g.,7,Ekonovus,,5:50:00 AM,0.07,54.6892,25.2748,6:02:00 AM,Vilniaus m. BA5,7/8/2022,Autumn,108.3333333
1188034,13-L-311579,E2004715ED406026D8400114,1.1,Vilnius,Kaštonų g.,7,Ekonovus,,5:49:00 AM,0.014,54.6892,25.2747,6:02:00 AM,Vilniaus m. BA5,3/29/2022,Autumn,108.3333333
1188033,13-L-311555,E2004718C2C0602605980114,1.1,Vilnius,Kaštonų g.,7,Ekonovus,,5:49:00 AM,0.0695,54.6892,25.2747,6:02:00 AM,Vilniaus m. BA5,3/21/2022,Autumn,108.3333333
1188317,13-L-312781,E20047160C806026DA340109,1.1,Vilnius,Kaštonų g.,7,Ekonovus,,5:59:00 AM,0.0365,54.6887,25.2753,6:32:00 AM,Vilniaus m. BA5,7/8/2022,Summer,127.3333333
1188035,13-L-308298,E200001C36160046108012EB,1.1,Vilnius,Kaštonų g.,7,Ekonovus,,5:50:00 AM,0.0035,54.6892,25.2747,6:02:00 AM,Vilniaus m. BA5,5/4/2021,Autumn,108.3333333
1188949,13-L-313497,E20047108370602681A30112,1.1,Vilnius,Gedimino pr.,19,Ekonovus,,7:05:00 AM,0.0245,54.6876,25.2768,7:22:00 AM,Vilniaus m. BA5,11/25/2022,Spring,146.3333333
1188936,13-L-309223,E200001C36180042115012C5,1.1,Vilnius,Kernavės g.,4,Ekonovus,,6:45:00 AM,0.033,54.7019,25.2749,7:22:00 AM,Vilniaus m. BA5,3/12/2021,Spring,321
1188937,13-L-309225,E200001C3618003011400847,1.1,Vilnius,Kernavės g.,4,Ekonovus,,6:45:00 AM,0.033,54.7019,25.2749,7:22:00 AM,Vilniaus m. BA5,3/12/2021,Spring,321
1188935,13-L-313803,E20047176A206026F00E0109,1.1,Vilnius,Kernavės g.,4,Ekonovus,,6:45:00 AM,0.0435,54.7019,25.2749,7:22:00 AM,Vilniaus m. BA5,3/12/2021,Spring,321
1188212,13-L-313706,E20047177EF06026F15B010F,1.1,Vilnius,S. Fino g.,4,Ekonovus,,5:49:00 AM,0.0375,54.6997,25.2811,6:22:00 AM,Vilniaus m. BA5,11/29/2022,Spring,3237.333333
1188282,13-L-312050,E200470537106026CCDD0112,1.1,Vilnius,S. Fino g.,4,Ekonovus,,5:50:00 AM,0.039,54.6998,25.2809,6:32:00 AM,Vilniaus m. BA5,10/26/2022,Spring,3237.333333
1188283,13-L-309391,E200001C3618002911300962,1.1,Vilnius,S. Fino g.,4,Ekonovus,,5:50:00 AM,0.04,54.6999,25.2806,6:32:00 AM,Vilniaus m. BA5,2/3/2021,Spring,117
1188213,13-L-314012,E20047164F406026DE60010A,1.1,Vilnius,S. Fino g.,4,Ekonovus,,5:49:00 AM,0.0375,54.6997,25.2811,6:22:00 AM,Vilniaus m. BA5,6/17/2022,Spring,3237.333333
1191636,13-L-311507,E200471352206026AE8E010A,1.1,Vilnius,S. Konarskio g.,27,Ekonovus,,10:09:00 AM,0.041,54.6791,25.2545,10:42:00 AM,Vilniaus m. BA5,3/2/2022,Summer,259.3333333
